"STATION","NAME","DATE","TMAX","TMIN"
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-01",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-02",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-03",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-04",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-05",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-06",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-07",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-08",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-09",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-10",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-11",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-12",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-13",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-14",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-15",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-16",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-17",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-18",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-19",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-20",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-21",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-22",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-23",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-24",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-25",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-26",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-27",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-28",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-29",,
"USC00027330","HELMET PEAK RUBY STATION, AZ US","1980-06-30",,
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-01","88","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-02","94","55"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-03","95","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-04","99","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-05","99","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-06","97","60"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-07","99","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-08","103","64"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-09","106","64"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-10","106","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-11","102","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-12","103","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","1980-06-13","103","67"
