"STATION","NAME","DATE","TMAX","TMIN"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-01","81","49"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-02","83","49"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-03","78","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-04","84","52"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-05","79","53"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-06","76","53"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-07","84","50"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-08","94","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-09","94","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-10","76","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-11","72","48"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-12","69","51"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-13","75","45"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-14","85","49"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-15","87","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-16","80","53"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-17","74","51"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-18","87","50"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-19","97","55"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-20","90","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-21","88","61"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-22","83","50"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-23","82","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-24","87","53"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-25","94","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-26","97","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-27","94","60"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-28","93","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-29","88","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-04-30","83","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-01","87","52"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-02","88","55"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-03","90","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-04","93","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-05","93","60"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-06","85","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-07","77","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-08","84","53"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-09","83","59"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-10","81","64"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-11","84","55"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-12","77","57"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-13","84","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-14","91","60"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-15","96","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-16","90","65"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-17","80","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-18","82","52"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-19","81","61"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-20","71","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-21","81","50"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-22","79","57"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-23","76","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-24","87","49"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-25","89","56"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-26","83","61"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-27","79","58"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-28","83","51"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-29","87","54"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-30","92","59"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-05-31","96","61"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-01","96","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-02","94","65"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-03","96","65"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-04","95","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-05","96","64"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-06","99","69"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-07","99","70"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-08","99","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-09","101","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-10","101","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-11","103","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-12","107","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-13","107","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-14","101","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-15","99","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-16","102","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-17","101","70"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-18","99","67"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-19","101","67"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-20","101","68"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-21","99","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-22","97","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-23","96","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-24","101","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-25","102","67"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-26","102","69"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-27","105","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-28","107","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-29","109","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-06-30","108","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-01","107","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-02","105","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-03","103","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-04","103","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-05","104","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-06","96","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-07","99","77"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-08","101","69"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-09","103","70"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-10","109","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-11","108","83"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-12","106","86"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-13","106","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-14","106","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-15","108","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-16","110","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-17","101","83"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-18","103","80"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-19","103","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-20","105","77"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-21","104","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-22","103","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-23","99","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-24","101","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-25","102","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-26","105","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-27","108","82"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-28","105","83"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-29","105","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-30","99","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-07-31","94","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-01","99","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-02","102","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-03","104","80"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-04","107","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-05","109","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-06","100","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-07","100","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-08","100","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-09","97","80"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-10","89","72"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-11","96","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-12","99","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-13","104","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-14","107","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-15","108","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-16","105","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-17","102","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-18","102","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-19","105","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-20","109","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-21","110","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-22","105","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-23","98","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-24","95","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-25","97","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-26","103","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-27","105","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-28","104","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-29","97","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-30","100","77"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-31","102","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-01","104","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-02","103","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-03","102","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-04","105","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-05","103","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-06","103","80"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-07","100","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-08","97","74"
